,longitude,latitude,buildingType
123,7.684984339785062,48.58291474936156,single_house
124,7.68469682434772,48.58214570629967,single_house
125,7.685049331485588,48.58230572927175,single_house
126,7.685177445049702,48.58259895278141,single_house
127,7.684761212975953,48.58193951380264,single_house
128,7.684488946162208,48.58185652677088,single_house
129,7.684963572522189,48.58219737064668,single_house
130,7.685351292919737,48.58211360134294,single_house
131,7.685548753567404,48.58249871007668,single_house
132,7.684933318634243,48.58173808643693,single_house
133,7.68530585528862,48.58231904860206,single_house
134,7.683608747269979,48.58429811754485,single_house
135,7.683397792095576,48.58499128340137,single_house
136,7.683505162842983,48.58476447561175,single_house
137,7.684120286092069,48.58439871153109,single_house
138,7.683873416030353,48.58432643812605,single_house
139,7.683847862348634,48.58479963342118,single_house
140,7.684011517420923,48.58372985798758,single_house
141,7.683775067454744,48.58495749523742,single_house
142,7.684740711359593,48.58363714215241,single_house
143,7.685066306139434,48.58278355853892,single_house
144,7.685401571945643,48.58279647649511,single_house
145,7.683663934577464,48.58412563065513,single_house
146,7.684021148458315,48.58391330829202,single_house
147,7.684203427813363,48.58479643645613,single_house
148,7.683641764016443,48.58530427322322,single_house
149,7.684092834332542,48.58413756639495,single_house
150,7.684292419179694,48.58393956418496,single_house
151,7.683733313559554,48.58388409926664,single_house
152,7.683870280855651,48.58373001719458,single_house
153,7.684570712897263,48.58398356606186,single_house
154,7.68528808861054,48.58293972339218,single_house
155,7.685108784149568,48.58319730353146,single_house
156,7.684451652002184,48.5830177456325,single_house
157,7.683893226222206,48.58300010191303,single_house
158,7.682917567681445,48.58263033356185,collective_house
159,7.683591719857028,48.58233253349601,single_house
160,7.683146224587118,48.58255391848207,single_house
161,7.683868252167028,48.58228108675731,single_house
162,7.682831649120989,48.58289955087425,garage
163,7.683332319584612,48.58259056417216,collective_house
164,7.683936237217273,48.58255505392921,single_house
165,7.683476096372972,48.58267951686621,single_house
166,7.684152268922278,48.58251049454256,single_house
167,7.684298964355354,48.58200999690394,single_house
168,7.683718126493311,48.58259158190371,single_house
169,7.684118201112394,48.58205406575993,single_house
170,7.682719414893469,48.58282917799825,garage
171,7.683594568735938,48.58297131951409,single_house
172,7.683735580304806,48.58280175749733,single_house
173,7.684099691395933,48.58303071469945,single_house
174,7.68373872275548,48.58303412461449,garage
175,7.684546914943824,48.58288332827178,single_house
176,7.684522073387434,48.58269687327707,single_house
177,7.68436538404753,48.58305538808668,single_house
178,7.684795267604942,48.58292670649924,single_house
179,7.684701988487722,48.58323496323415,single_house
180,7.684622258337462,48.58337597802802,single_house
181,7.684250511257529,48.58353210554218,single_house
182,7.685583210938656,48.58185214457756,single_house
183,7.685408522003731,48.58173647777178,garage
184,7.685348906076161,48.58166223067305,collective_house
185,7.683638843842497,48.58994516644248,commercial_building
186,7.683445162377469,48.59037632257453,commercial_building
187,7.683627978402313,48.59027900885027,commercial_building
188,7.683339308522344,48.58939106332123,commercial_building
189,7.683189298243254,48.58920233078554,commercial_building
190,7.681821804560455,48.5901320814491,commercial_building
191,7.68783940820192,48.59008778677284,commercial_building
192,7.688583442822366,48.58985659254557,commercial_building
193,7.685016709775782,48.59063339862786,commercial_building
194,7.685016709775782,48.59063339862786,commercial_building
195,7.68561224484275,48.59029093106363,commercial_building
196,7.684283363585345,48.59119665943204,commercial_building
197,7.683442660765103,48.58816326975659,commercial_building
198,7.683442660765103,48.58816326975659,commercial_building
199,7.683035517926994,48.58850100851808,commercial_building
200,7.683710254760757,48.58918000426384,commercial_building
201,7.683582637731029,48.5890138204575,commercial_building
202,7.683685032649609,48.58873133888386,commercial_building
203,7.684964016373845,48.58974156338321,commercial_building
204,7.684518381420606,48.59004387769418,commercial_building
205,7.685600123358157,48.58945787081094,commercial_building
206,7.685747699637846,48.58940699827296,commercial_building
207,7.684864265870592,48.58756567961706,commercial_building
208,7.684864265870592,48.58756567961706,commercial_building
209,7.685516387703842,48.58741562300454,commercial_building
210,7.685136922969091,48.58742517209545,commercial_building
211,7.685542228581314,48.58782551712876,commercial_building
212,7.684530979457377,48.58886471390182,commercial_building
213,7.683954414523687,48.58809895153395,commercial_building
214,7.683954414523687,48.58809895153395,commercial_building
215,7.686318829970371,48.58744256572174,commercial_building
216,7.686481555410944,48.58786418391244,commercial_building
217,7.687053598536757,48.58826065405206,commercial_building
218,7.684181674217526,48.58942365711119,commercial_building
219,7.684401223622579,48.58917530812285,commercial_building
220,7.684043159693202,48.58861990779177,commercial_building
221,7.686928224039724,48.5889080978373,commercial_building
222,7.682389073222008,48.5886084743106,commercial_building
223,7.68215877430354,48.58876713109211,commercial_building
224,7.683028042690672,48.58908522970503,commercial_building
